Question,Type,Option 1,Option 2
"QUERY: 'completely stateless layout container with zero hooks'

--- IS THIS COMPONENT RELEVANT? ---
// Component Name: nan
// Original File: uber/baseweb/src/heading/heading.tsx
// Purpose: No documentation.

// --- AST Structural Properties ---
Line Count: 42
UI Elements: 3 (Depth: 2)
Total Hooks: 0
useState: 0, useEffect: 0, useRef: 0, useContext: 0
Event Handlers: 0
Array Maps: 0, Filters: 0
Data Fetching: No",Multiple Choice,"1 - Yes, Relevant","0 - No, Not Relevant"
"QUERY: 'completely stateless layout container with zero hooks'

--- IS THIS COMPONENT RELEVANT? ---
// Component Name: Example
// Original File: adobe/react-spectrum/packages/dev/s2-docs/src/CodePlatter.tsx
// Purpose: const V0 = createIcon(props => (   <svg viewBox=""0 0 40 20"" {...props}>     <path       d=""M23.3919 0H32.9188C36.7819 0 39.9136 3.13165 39.9136 6.99475V16.0805H36.0006V6.99475C36.0006 6.90167 35.9969

// --- AST Structural Properties ---
Line Count: 453
UI Elements: 60 (Depth: 10)
Total Hooks: 3
useState: 3, useEffect: 0, useRef: 3, useContext: 6
Event Handlers: 0
Array Maps: 0, Filters: 0
Data Fetching: No",Multiple Choice,"1 - Yes, Relevant","0 - No, Not Relevant"
"QUERY: 'completely stateless layout container with zero hooks'

--- IS THIS COMPONENT RELEVANT? ---
// Component Name: Layout
// Original File: react-dnd/react-dnd/packages/docsite/src/components/layout.tsx
// Purpose: No documentation.

// --- AST Structural Properties ---
Line Count: 111
UI Elements: 11 (Depth: 7)
Total Hooks: 3
useState: 2, useEffect: 0, useRef: 0, useContext: 0
Event Handlers: 0
Array Maps: 0, Filters: 0
Data Fetching: No",Multiple Choice,"1 - Yes, Relevant","0 - No, Not Relevant"
"QUERY: 'completely stateless layout container with zero hooks'

--- IS THIS COMPONENT RELEVANT? ---
// Component Name: Modal
// Original File: pubkey/rxdb/docs-src/src/components/modal.tsx
// Purpose: Extra class applied to the modal root for styling hooks

// --- AST Structural Properties ---
Line Count: 109
UI Elements: 6 (Depth: 3)
Total Hooks: 0
useState: 0, useEffect: 0, useRef: 0, useContext: 0
Event Handlers: 0
Array Maps: 0, Filters: 1
Data Fetching: No",Multiple Choice,"1 - Yes, Relevant","0 - No, Not Relevant"
"QUERY: 'completely stateless layout container with zero hooks'

--- IS THIS COMPONENT RELEVANT? ---
// Component Name: nan
// Original File: ant-design/ant-design/components/pagination/Pagination.tsx
// Purpose: @deprecated Not official support. Will be removed in next major version.

// --- AST Structural Properties ---
Line Count: 300
UI Elements: 22 (Depth: 7)
Total Hooks: 10
useState: 0, useEffect: 0, useRef: 0, useContext: 0
Event Handlers: 0
Array Maps: 0, Filters: 0
Data Fetching: No",Multiple Choice,"1 - Yes, Relevant","0 - No, Not Relevant"
"QUERY: 'pure presentational badge with no state at all'

--- IS THIS COMPONENT RELEVANT? ---
// Component Name: nan
// Original File: uber/baseweb/src/heading/heading.tsx
// Purpose: No documentation.

// --- AST Structural Properties ---
Line Count: 42
UI Elements: 3 (Depth: 2)
Total Hooks: 0
useState: 0, useEffect: 0, useRef: 0, useContext: 0
Event Handlers: 0
Array Maps: 0, Filters: 0
Data Fetching: No",Multiple Choice,"1 - Yes, Relevant","0 - No, Not Relevant"
"QUERY: 'pure presentational badge with no state at all'

--- IS THIS COMPONENT RELEVANT? ---
// Component Name: Example
// Original File: adobe/react-spectrum/packages/dev/s2-docs/src/CodePlatter.tsx
// Purpose: const V0 = createIcon(props => (   <svg viewBox=""0 0 40 20"" {...props}>     <path       d=""M23.3919 0H32.9188C36.7819 0 39.9136 3.13165 39.9136 6.99475V16.0805H36.0006V6.99475C36.0006 6.90167 35.9969

// --- AST Structural Properties ---
Line Count: 453
UI Elements: 60 (Depth: 10)
Total Hooks: 3
useState: 3, useEffect: 0, useRef: 3, useContext: 6
Event Handlers: 0
Array Maps: 0, Filters: 0
Data Fetching: No",Multiple Choice,"1 - Yes, Relevant","0 - No, Not Relevant"
"QUERY: 'pure presentational badge with no state at all'

--- IS THIS COMPONENT RELEVANT? ---
// Component Name: Layout
// Original File: react-dnd/react-dnd/packages/docsite/src/components/layout.tsx
// Purpose: No documentation.

// --- AST Structural Properties ---
Line Count: 111
UI Elements: 11 (Depth: 7)
Total Hooks: 3
useState: 2, useEffect: 0, useRef: 0, useContext: 0
Event Handlers: 0
Array Maps: 0, Filters: 0
Data Fetching: No",Multiple Choice,"1 - Yes, Relevant","0 - No, Not Relevant"
"QUERY: 'pure presentational badge with no state at all'

--- IS THIS COMPONENT RELEVANT? ---
// Component Name: Modal
// Original File: pubkey/rxdb/docs-src/src/components/modal.tsx
// Purpose: Extra class applied to the modal root for styling hooks

// --- AST Structural Properties ---
Line Count: 109
UI Elements: 6 (Depth: 3)
Total Hooks: 0
useState: 0, useEffect: 0, useRef: 0, useContext: 0
Event Handlers: 0
Array Maps: 0, Filters: 1
Data Fetching: No",Multiple Choice,"1 - Yes, Relevant","0 - No, Not Relevant"
"QUERY: 'pure presentational badge with no state at all'

--- IS THIS COMPONENT RELEVANT? ---
// Component Name: nan
// Original File: ant-design/ant-design/components/pagination/Pagination.tsx
// Purpose: @deprecated Not official support. Will be removed in next major version.

// --- AST Structural Properties ---
Line Count: 300
UI Elements: 22 (Depth: 7)
Total Hooks: 10
useState: 0, useEffect: 0, useRef: 0, useContext: 0
Event Handlers: 0
Array Maps: 0, Filters: 0
Data Fetching: No",Multiple Choice,"1 - Yes, Relevant","0 - No, Not Relevant"
